campaign,number,slug,weight,verdict,instrument,seeds,baseline,reading,delta,resolution,per_seed,title
supervised,001,does-hidden-512-raise-mean-score,full,REJECT,"paired A/B, seeds 0-4, 95 % t-interval",0-4,33.174,32.816,-0.358,"[-1.42, +0.70]",33.31 31.17 32.85 33.45 33.30,Does a hidden size of 512 instead of 256 raise the mean score over the last 100 of 300 games by at least 3 points?
supervised,002,does-explore-160-raise-mean-score,full,REJECT,"paired A/B, seeds 0-4, 95 % t-interval",0-4,33.174,33.816,0.642,"[-0.29, +1.57]",35.42 33.50 32.59 33.81 33.76,Does EXPLORE_GAMES=160 instead of 80 raise mean_score over the last 100 of 300 games by at least 2 points?
supervised,003,does-lr-003-raise-mean-score,full,REJECT,"paired A/B, seeds 0-4, 95 % t-interval",0-4,33.174,30.576,-2.598,"[-5.37, +0.17]",32.57 31.55 30.06 31.25 27.45,Does LR=0.003 instead of 0.001 raise mean_score over the last 100 of 300 games by at least 2 points?
supervised,004,does-lr-0003-raise-mean-score,full,REJECT,"paired A/B, seeds 0-4, 95 % t-interval",0-4,33.174,33.112,-0.062,"[-2.14, +2.02]",36.08 33.71 31.04 31.36 33.37,Does LR=0.0003 instead of 0.001 raise mean_score over the last 100 of 300 games by at least 2 points?
supervised,005,does-default-climb-past-300-games,full,VOID,never run,,,,,,,Does the default configuration keep climbing: is mean score over games 901-1000 at least 2 points above games 201-300 in a 1000-game run?
supervised,006,spread-of-mean-score-on-defaults,full,INCONCLUSIVE,calibration: single-seed range over seeds 0-19 (fixed),0-19,33.2545,33.2545,,single-seed range 3.87 (std 1.0898),33.75 32.76 32.60 32.84 33.92 34.72 33.54 35.28 32.17 34.59 32.62 31.76 32.72 32.27 31.95 31.41 34.14 33.65 34.29 34.11,What is the run-to-run spread of mean_score on the unchanged defaults over 300 games?
autonomous,001,calibrate-mean-score-floor,full,PASS,"calibration: range of five 3-seed block means, seeds 0-14",0-14,33.166,33.166,,"floor 1.5134 (block std 0.6039, per-seed std 1.079)",33.75 32.76 32.60 32.84 33.92 34.72 33.54 35.28 32.17 34.59 32.62 31.76 32.72 32.27 31.95,What is the run-to-run spread of mean_score on the unchanged code?
autonomous,002,danger-two-ahead,iteration,INCONCLUSIVE,"3-seed mean vs best kept, floor from calibration",0-2,33.166,34.43,1.26,floor 1.5134 (001),32.55 36.65 34.09,danger two blocks ahead as three extra state bits (STATE_SIZE 14)
autonomous,003,second-hidden-layer,iteration,INCONCLUSIVE,"3-seed mean vs best kept, floor from calibration",0-2,33.166,32.02,-1.15,floor 1.5134 (001),33.32 32.22 30.52,a second hidden layer of HIDDEN_SIZE in Linear_QNet
autonomous,004,gamma-095,iteration,INCONCLUSIVE,"3-seed mean vs best kept, floor from calibration",0-2,33.166,34.0967,0.93,floor 1.5134 (001),33.97 33.88 34.44,GAMMA 0.9 -> 0.95: a longer horizon
autonomous,005,replay-steps-4,iteration,INCONCLUSIVE,"3-seed mean vs best kept, floor from calibration",0-2,33.166,33.3167,0.15,floor 1.5134 (001),31.89 33.19 34.87,REPLAY_STEPS 4: four long-memory gradient steps per game end instead of one
autonomous,006,detached-target,iteration,DISCARD,"3-seed mean vs best kept, floor from calibration",0-2,33.166,30.25,-2.92,floor 1.5134 (001),30.30 30.78 29.67,detach the TD target: no gradient through Q(next_state) or the cloned prediction
autonomous,007,trap-bits,iteration,KEEP,"3-seed mean vs best kept, floor from calibration",0-2,33.166,76.5667,43.4,floor 1.5134 (001),74.66 76.73 78.31,trap bits: a flood fill per move says whether the region ahead is smaller than the snake (STATE_SIZE 14)
autonomous,008,recalibrate-after-trap-bits,full,PASS,"calibration: range of five 3-seed block means, seeds 0-14",0-14,73.302,73.302,,"floor 13.17 (block std 5.0515, per-seed std 6.0454)",74.66 76.73 78.31 77.74 77.32 80.11 74.86 76.04 69.47 67.65 69.89 81.09 71.85 62.07 61.74,What is the run-to-run spread of mean_score on the code kept at 007 (trap bits)?
autonomous,009,tail-reachable-bits,iteration,DISCARD,"3-seed mean vs best kept, floor from calibration",0-2,76.5667,60.3267,-16.24,floor 13.17 (008),94.15 0.57 86.26,tail-reachable bits: a flood fill from the tail says whether each move keeps a path to it (STATE_SIZE 17)
autonomous,010,tail-bits-instead-of-trap,iteration,INCONCLUSIVE,"3-seed mean vs best kept, floor from calibration",0-2,76.5667,84.1633,7.6,floor 13.17 (008),88.51 77.97 86.01,tail-reachable bits in place of the trap bits (STATE_SIZE 14)
autonomous,011,food-relative-bits,iteration,INCONCLUSIVE,"3-seed mean vs best kept, floor from calibration",0-2,76.5667,74.71,-1.86,floor 13.17 (008),74.50 74.48 75.15,food ahead / right / left of the heading as three state bits (STATE_SIZE 17)
autonomous,012,hidden-512,iteration,INCONCLUSIVE,"3-seed mean vs best kept, floor from calibration",0-2,76.5667,71.3067,-5.26,floor 13.17 (008),71.07 71.88 70.97,HIDDEN_SIZE 256 -> 512
autonomous,013,huber-loss,iteration,DISCARD,"3-seed mean vs best kept, floor from calibration",0-2,76.5667,44.6533,-31.91,floor 13.17 (008),45.63 40.77 47.56,Huber (SmoothL1) loss instead of MSE
autonomous,014,lr-5e-4,iteration,INCONCLUSIVE,"3-seed mean vs best kept, floor from calibration",0-2,76.5667,80.7333,4.17,floor 13.17 (008),76.42 80.12 85.66,LR 0.001 -> 0.0005
autonomous,015,explore-40,iteration,INCONCLUSIVE,"3-seed mean vs best kept, floor from calibration",0-2,76.5667,77.01,0.44,floor 13.17 (008),79.28 78.02 73.73,EXPLORE_GAMES 80 -> 40: half the exploration
autonomous,016,trap-or-tail,iteration,INCONCLUSIVE,"3-seed mean vs best kept, floor from calibration",0-2,76.5667,75.56,-1.01,floor 13.17 (008),72.23 71.81 82.64,"trap bit is off when the region ahead reaches the tail, not only when it is snake-sized"
autonomous,017,memory-20k,iteration,INCONCLUSIVE,"3-seed mean vs best kept, floor from calibration",0-2,76.5667,75.4367,-1.13,floor 13.17 (008),72.17 78.72 75.42,MAX_MEMORY 100000 -> 20000: replay only recent play
autonomous,018,batch-2000,iteration,INCONCLUSIVE,"3-seed mean vs best kept, floor from calibration",0-2,76.5667,72.9467,-3.62,floor 13.17 (008),77.68 67.08 74.08,BATCH_SIZE 1000 -> 2000
autonomous,019,danger-two-ahead-on-trap,iteration,INCONCLUSIVE,"3-seed mean vs best kept, floor from calibration",0-2,76.5667,77.44,0.87,floor 13.17 (008),64.77 83.14 84.41,danger two blocks ahead on top of the trap bits (STATE_SIZE 17)
autonomous,020,gamma-095-on-trap,iteration,INCONCLUSIVE,"3-seed mean vs best kept, floor from calibration",0-2,76.5667,75.31,-1.26,floor 13.17 (008),75.92 68.85 81.16,GAMMA 0.9 -> 0.95 on top of the trap bits
autonomous,021,lr-quarter,iteration,KEEP,"3-seed mean vs best kept, floor from calibration",0-2,76.5667,90.4867,13.92,floor 13.17 (008),91.97 90.91 88.58,LR 0.001 -> 0.00025
